,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
27,201915689,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,305,19,Mission,1918,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,35,F,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,13600    FOOTHILL                     BL,,34.3069,-118.4297
28,201918078,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1111,19,Mission,1983,1,210,ROBBERY,0344 0334 0312 1822 1402,19,M,H,108.0,PARKING LOT,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,210.0,,,,8300 N  SEPULVEDA                    BL,,34.2214,-118.4677
29,202013248,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2250,20,Olympic,2069,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0329 0416 0913 1814 2000 2002,43,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1200 S  WESTMORELAND                 AV,,34.0495,-118.2891
30,202011749,07/04/2020 12:00:00 AM,06/26/2020 12:00:00 AM,700,20,Olympic,2021,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,48,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,4100 W  6TH                          ST,,34.0633,-118.3141
31,201811813,05/28/2020 12:00:00 AM,05/25/2020 12:00:00 AM,200,18,Southeast,1851,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,MENLO                        AV,130TH                        ST,33.9144,-118.2894
32,201809657,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,1550,18,Southeast,1871,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1814 1243,49,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,800 W  ROSECRANS                    AV,,33.9019,-118.2893
33,201409975,04/22/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1930,14,Pacific,1446,1,330,BURGLARY FROM VEHICLE,0344 1300,43,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,VENICE                       BL,INGLEWOOD                    BL,34.0056,-118.4301
34,201819653,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,1000,18,Southeast,1831,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1307 1100 1407,22,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,998.0,,,600 W  ATHENS                       BL,,33.9213,-118.2847
35,201911106,06/18/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1908,19,Mission,1995,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0450 1822 0395 0906,19,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,14600    BLYTHE                       ST,,34.2152,-118.451
36,201819475,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,2250,18,Southeast,1871,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0913 0603 0361,39,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,AO,Adult Other,230.0,,,,800 W  148TH                        ST,,33.8983,-118.2896
37,202106474,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1835,21,Topanga,2187,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822,58,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,21700    VENTURA                      BL,,34.1683,-118.6007
38,202115676,11/05/2020 12:00:00 AM,11/03/2020 12:00:00 AM,330,21,Topanga,2158,1,310,BURGLARY,0344 1606 0209,46,M,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,6300    CANOGA                       AV,,34.1849,-118.5974
39,201416348,08/30/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1200,14,Pacific,1453,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,4000    GLENCOE                      AV,,33.9918,-118.4446
40,201420586,11/20/2020 12:00:00 AM,11/18/2020 12:00:00 AM,630,14,Pacific,1403,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1300,33,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,420.0,,,,11200    SARDIS                       AV,,34.0296,-118.4306
41,201504263,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1300,15,N Hollywood,1527,1,330,BURGLARY FROM VEHICLE,0344 0321,23,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11000    VICTORY                      BL,,34.1867,-118.3703
42,202013922,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,830,20,Olympic,2031,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2032,21,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,700 S  MANHATTAN                    PL,,34.0581,-118.3102
43,201615829,12/19/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1500,16,Foothill,1684,1,210,ROBBERY,0444 0344,0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,7900    LAUREL CANYON                BL,,34.2139,-118.3965
44,201908231,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2000,19,Mission,1998,2,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),3011 3037 3034 3028 3102 4026,28,F,W,108.0,PARKING LOT,,,IC,Invest Cont,906.0,,,,7800    NOLLAN                       PL,,34.2128,-118.445
45,220614831,08/18/2022 12:00:00 AM,08/17/2020 12:00:00 AM,1200,6,Hollywood,666,2,354,THEFT OF IDENTITY,1822 1501 0930 2004,28,M,H,102.0,SIDEWALK,,,IC,Invest Cont,354.0,,,,1900    TRANSIENT,,34.0944,-118.3277
46,201420127,11/10/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1300,14,Pacific,1487,1,480,BIKE - STOLEN,0344,34,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,,,,8800 S  SEPULVEDA                    BL,,33.9568,-118.3962
47,201810632,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1530,18,Southeast,1804,2,624,BATTERY - SIMPLE ASSAULT,0444 1300 1822 1218,18,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,MANCHESTER                   AV,AVALON                       BL,33.9602,-118.2651
48,202115664,11/05/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1400,21,Topanga,2139,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1501,30,M,X,203.0,OTHER BUSINESS,,,AO,Adult Other,668.0,,,,19700    SHERMAN                      WY,,34.2011,-118.5713
49,202013106,08/06/2020 12:00:00 AM,08/06/2020 12:00:00 AM,530,20,Olympic,2011,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,51,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,440.0,,,,100 S  WILTON                       PL,,34.0728,-118.3135
50,201908682,04/12/2020 12:00:00 AM,04/12/2020 12:00:00 AM,2221,19,Mission,1961,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416,11,M,H,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627.0,,,,9400    SEPULVEDA                    BL,,34.2427,-118.4702
51,201419812,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1910,14,Pacific,1435,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 2004,48,M,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,12100    VENICE                       BL,,34.0039,-118.4334
52,210404224,01/04/2021 12:00:00 AM,12/27/2020 12:00:00 AM,1130,4,Hollenbeck,438,1,310,BURGLARY,0344,61,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,310.0,,,,2900    WARWICK                      AV,,34.0785,-118.1661
53,202105280,01/29/2020 12:00:00 AM,01/28/2020 12:00:00 AM,1800,21,Topanga,2189,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,20500    VENTURA                      BL,,34.1683,-118.5787
54,201904694,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,2130,19,Mission,1901,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,FOOTHILL,BALBOA,34.3193,-118.4871
55,210205056,01/12/2021 12:00:00 AM,10/14/2020 12:00:00 AM,1200,2,Rampart,237,2,354,THEFT OF IDENTITY,0930 0100,37,M,W,733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,354.0,,,,300    WELCOME                      ST,,34.0656,-118.2621
56,202011797,07/06/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2030,20,Olympic,2002,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 0209,0,X,X,301.0,GAS STATION,,,IC,Invest Cont,740.0,,,,4600    BEVERLY                      BL,,34.0799,-118.3113
57,201407385,02/03/2020 12:00:00 AM,02/02/2020 12:00:00 AM,2000,14,Pacific,1449,1,330,BURGLARY FROM VEHICLE,1606 0344,31,F,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,3800    MCLAUGHLIN                   AV,,34.0086,-118.4246
58,211104687,01/21/2021 12:00:00 AM,01/21/2020 12:00:00 AM,300,11,Northeast,1151,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,X,X,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,745.0,,,,4800 W  SUNSET                       BL,,34.0982,-118.2943
59,201513536,08/05/2020 12:00:00 AM,08/04/2020 12:00:00 AM,730,15,N Hollywood,1557,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4900    CARTWRIGHT                   AV,,34.1595,-118.3637
60,201313153,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,930,13,Newton,1395,1,210,ROBBERY,0444 0344 1822,0,X,X,248.0,CELL PHONE STORE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,210.0,,,,400 E  FLORENCE                     AV,,33.9784,-118.263
61,201713754,09/29/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1200,17,Devonshire,1767,2,354,THEFT OF IDENTITY,1822 0928,74,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9600    ONEAL                        CT,,34.245,-118.5289
62,201513294,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,2010,15,N Hollywood,1591,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 2004,57,M,H,727.0,SHOPPING MALL (COMMON AREA),511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,12200 W  VENTURA                      BL,,34.1432,-118.3986
63,201817027,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,2145,18,Southeast,1827,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0447 1822 1218,53,F,H,103.0,ALLEY,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,95TH                         ST,ANZAC,33.9506,-118.2375
64,201610419,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2000,16,Foothill,1642,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,36,F,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,13000    GLAMIS                       ST,,34.2555,-118.4185
65,201910095,05/21/2020 12:00:00 AM,03/17/2020 12:00:00 AM,317,19,Mission,1902,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,31,M,H,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,15100    ROXFORD                      ST,,34.3198,-118.4622
66,201316902,09/13/2020 12:00:00 AM,09/13/2020 12:00:00 AM,300,13,Newton,1361,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,300 W  47TH                         ST,,34.0011,-118.2789
67,201416213,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1640,14,Pacific,1427,2,624,BATTERY - SIMPLE ASSAULT,0416 0561 0421,68,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3300 S  SEPULVEDA                    BL,,34.0226,-118.4248
68,201817878,09/27/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1930,18,Southeast,1863,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,50,F,H,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,341.0,,,,11600    AVALON                       BL,,33.9283,-118.2652
69,202104312,01/07/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1330,21,Topanga,2172,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,23200    VENTURA                      BL,,34.1626,-118.6309
70,202013579,08/18/2020 12:00:00 AM,08/13/2020 12:00:00 AM,100,20,Olympic,2014,2,860,BATTERY WITH SEXUAL CONTACT,0913 1810 0522 0545,49,M,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,4000 W  2ND                          ST,,34.0712,-118.3016
71,201404274,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2219,14,Pacific,1476,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,62,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,6400 W  84TH                         ST,,33.9629,-118.3993
72,201812009,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,400,18,Southeast,1803,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,8700 S  SAN PEDRO                    ST,,33.9591,-118.2695
73,201817357,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,30,18,Southeast,1871,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1822,21,F,B,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,ROSECRANS,VERMONT,33.9019,-118.2916
74,231808869,04/04/2023 12:00:00 AM,12/01/2020 12:00:00 AM,2300,18,Southeast,1826,2,354,THEFT OF IDENTITY,1822 0100 0930 0929,41,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9900    COMPTON                      AV,,33.9467,-118.2463
75,201516878,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,400,15,N Hollywood,1543,1,210,ROBBERY,0344 1218 0432 1822 0345 0355 1012,28,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,CHANDLER,HERMITAGE,34.1687,-118.4003
76,201412163,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,350,14,Pacific,1472,1,330,BURGLARY FROM VEHICLE,0344,47,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,200    REES                         ST,,33.9569,-118.4473
77,202113353,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1700,21,Topanga,2111,2,900,VIOLATION OF COURT ORDER,2038,37,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,900.0,,,,23000    SATICOY                      ST,,34.213,-118.6458
78,201917640,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,1140,19,Mission,1913,2,624,BATTERY - SIMPLE ASSAULT,0416 0448 0409 1822,37,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,14900    POLK                         ST,,34.3089,-118.4613
79,201914494,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,700,19,Mission,1907,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0421 0416 1202 1218,68,M,B,155.0,DAM/RESERVOIR,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230.0,,,,GLADSTONE,NEWTON,34.299,-118.4153
80,201904416,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2100,19,Mission,1991,2,624,BATTERY - SIMPLE ASSAULT,2004 0416,27,M,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8200 N  SEPULVEDA                    BL,,34.2184,-118.4698
81,201419844,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1745,14,Pacific,1431,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416 0417,17,M,B,116.0,OTHER/OUTSIDE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,OCEAN FRONT WALK,MARKET                       ST,33.9874,-118.4741
82,202108355,04/17/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1600,21,Topanga,2183,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,22600    QUINTA                       RD,,34.1531,-118.6194
